Period,House,Grid
May-16_Hour19,0.0,0.0
May-16_Hour20,0.0,0.0
May-16_Hour21,0.0,0.0
May-16_Hour22,0.0,0.0
May-16_Hour23,0.0,0.0
May-17_Hour0,0.0,0.0
May-17_Hour1,0.0,0.0
May-17_Hour2,0.0,0.0
May-17_Hour3,0.0,0.0
May-17_Hour4,0.0,0.0
May-17_Hour5,0.0,0.0
May-17_Hour6,0.0,0.0
May-17_Hour7,0.0,0.0
May-17_Hour8,0.0,0.0
May-17_Hour9,0.0,0.0
May-17_Hour10,0.0,0.0
May-17_Hour11,0.0,0.0
May-17_Hour12,0.0,11002.329999999994
May-17_Hour13,0.0,13831.1
May-17_Hour14,0.0,13831.1
May-17_Hour15,0.0,13172.2
May-17_Hour16,0.0,13831.1
May-17_Hour17,0.0,14490.0
May-17_Hour18,0.0,6586.1
May-17_Hour19,0.0,0.0
May-17_Hour20,0.0,0.0
May-17_Hour21,0.0,0.0
May-17_Hour22,0.0,0.0
May-17_Hour23,0.0,0.0
May-18_Hour0,0.0,0.0
May-18_Hour1,0.0,0.0
May-18_Hour2,0.0,0.0
May-18_Hour3,0.0,0.0
May-18_Hour4,0.0,0.0
May-18_Hour5,0.0,0.0
May-18_Hour6,0.0,0.0
May-18_Hour7,0.0,0.0
May-18_Hour8,0.0,0.0
May-18_Hour9,0.0,0.0
May-18_Hour10,0.0,0.0
May-18_Hour11,0.0,0.0
May-18_Hour12,0.0,10343.429999999995
May-18_Hour13,0.0,14490.0
May-18_Hour14,0.0,13172.2
May-18_Hour15,0.0,13831.1
May-18_Hour16,0.0,13831.1
May-18_Hour17,0.0,13831.1
May-18_Hour18,0.0,7245.0
May-18_Hour19,0.0,0.0
May-18_Hour20,0.0,0.0
May-18_Hour21,0.0,0.0
May-18_Hour22,0.0,0.0
May-18_Hour23,0.0,0.0
May-19_Hour0,0.0,0.0
May-19_Hour1,0.0,0.0
May-19_Hour2,0.0,0.0
May-19_Hour3,0.0,0.0
May-19_Hour4,0.0,0.0
May-19_Hour5,0.0,0.0
May-19_Hour6,0.0,0.0
May-19_Hour7,0.0,0.0
May-19_Hour8,0.0,0.0
May-19_Hour9,0.0,0.0
May-19_Hour10,0.0,0.0
May-19_Hour11,0.0,0.0
May-19_Hour12,0.0,11002.329999999994
May-19_Hour13,0.0,13172.2
May-19_Hour14,0.0,14490.0
May-19_Hour15,0.0,13831.1
May-19_Hour16,0.0,13831.1
May-19_Hour17,0.0,13831.1
May-19_Hour18,0.0,6586.1
May-19_Hour19,0.0,0.0
May-19_Hour20,0.0,0.0
May-19_Hour21,0.0,0.0
May-19_Hour22,0.0,0.0
May-19_Hour23,0.0,0.0
May-20_Hour0,0.0,0.0
May-20_Hour1,0.0,0.0
May-20_Hour2,0.0,0.0
May-20_Hour3,0.0,0.0
May-20_Hour4,0.0,0.0
May-20_Hour5,0.0,0.0
May-20_Hour6,0.0,0.0
May-20_Hour7,0.0,0.0
May-20_Hour8,0.0,0.0
May-20_Hour9,0.0,0.0
May-20_Hour10,0.0,0.0
May-20_Hour11,0.0,0.0
May-20_Hour12,0.0,10343.429999999995
May-20_Hour13,0.0,13831.1
May-20_Hour14,0.0,13831.1
May-20_Hour15,0.0,13831.1
May-20_Hour16,0.0,14490.0
May-20_Hour17,0.0,13172.2
May-20_Hour18,0.0,7245.0
May-20_Hour19,0.0,0.0
May-20_Hour20,0.0,0.0
May-20_Hour21,0.0,0.0
May-20_Hour22,0.0,0.0
May-20_Hour23,0.0,0.0
May-21_Hour0,0.0,0.0
May-21_Hour1,0.0,0.0
May-21_Hour2,0.0,0.0
May-21_Hour3,0.0,0.0
May-21_Hour4,0.0,0.0
May-21_Hour5,0.0,0.0
May-21_Hour6,0.0,0.0
May-21_Hour7,0.0,0.0
May-21_Hour8,0.0,0.0
May-21_Hour9,0.0,0.0
May-21_Hour10,0.0,0.0
May-21_Hour11,0.0,0.0
May-21_Hour12,0.0,10343.429999999995
May-21_Hour13,0.0,13831.1
May-21_Hour14,0.0,14490.0
May-21_Hour15,0.0,13831.1
May-21_Hour16,0.0,13831.1
May-21_Hour17,0.0,13172.2
May-21_Hour18,0.0,4550.1
May-21_Hour19,0.0,0.0
May-21_Hour20,0.0,0.0
May-21_Hour21,0.0,0.0
May-21_Hour22,0.0,0.0
May-21_Hour23,0.0,0.0
May-22_Hour0,0.0,0.0
May-22_Hour1,0.0,0.0
May-22_Hour2,0.0,0.0
May-22_Hour3,0.0,0.0
May-22_Hour4,0.0,0.0
May-22_Hour5,0.0,0.0
May-22_Hour6,0.0,0.0
May-22_Hour7,0.0,0.0
May-22_Hour8,0.0,0.0
May-22_Hour9,0.0,0.0
May-22_Hour10,0.0,0.0
May-22_Hour11,0.0,0.0
